Week,BSX,MDT
1060,5.63,41.47
1059,5.38,40.67
1058,5.46,40.63
1057,5.56,40.73
1056,5.51,40.12
1055,5.32,39.85
1054,5.18,38.93
1053,5.35,37.76
1052,5.56,37.56
1051,5.63,37.94
1050,5.73,38.75
1049,5.65,37.87
1048,5.89,37.53
1047,5.76,37.46
1046,5.67,36.14
1045,5.90,37.03
1044,6.00,36.93
1043,6.27,37.72
1042,6.16,38.05
1041,6.27,37.93
1040,5.95,37.35
1039,5.64,37.81
1038,5.80,37.77
1037,5.99,39.16
1036,6.00,39.06
1035,6.12,39.39
1034,5.97,37.68
1033,5.97,37.80
1032,6.22,37.93
1031,6.12,39.34
1030,6.07,39.84
1029,6.01,40.00
1028,5.90,39.17
1027,5.98,39.60
1026,5.65,39.40
1025,5.34,38.86
1024,5.42,38.92
1023,5.24,37.73
1022,5.15,35.40
1021,5.32,35.70
1020,5.64,36.68
1019,5.36,34.29
1018,5.33,33.36
1017,5.83,34.87
1016,5.76,34.52
1015,5.71,34.95
1014,5.41,34.40
1013,5.65,33.04
1012,5.72,33.22
1011,5.84,33.20
1010,5.86,33.34
1009,6.40,34.51
1008,6.11,33.07
1007,6.19,33.60
1006,6.42,34.57
1005,6.23,31.89
1004,6.48,31.73
1003,6.29,32.67
1002,7.25,36.36
1001,7.13,36.71
1000,6.88,36.75
999,7.08,37.65
998,7.20,38.57
997,6.90,38.49
996,6.76,38.02
995,6.67,38.14
994,6.85,39.14
993,7.01,40.37
992,6.72,41.78
991,6.75,41.98
990,7.72,42.49
989,7.54,41.97
988,7.19,40.72
987,7.01,40.77
986,7.32,40.16
985,7.32,39.50
984,7.24,38.42
983,7.34,37.82
982,7.47,37.59
981,7.57,39.38
980,7.22,39.91
979,7.46,39.61
978,6.89,39.61
977,6.99,39.23
976,6.95,38.07
975,7.15,38.42
974,7.52,37.30
973,7.27,36.35
972,7.57,37.25
971,7.66,36.94
970,7.55,38.75
969,7.17,36.17
968,6.79,34.19
967,6.53,33.66
966,6.88,34.46
965,6.78,34.80
964,6.88,35.11
963,6.37,35.60
962,6.35,36.14
961,6.18,33.35
960,6.12,33.41
959,6.06,33.64
958,5.70,33.81
957,5.46,33.54
956,5.38,33.69
955,5.34,32.92
954,5.47,32.46
953,5.71,34.93
952,5.44,35.40
951,5.81,36.90
950,5.68,37.49
949,5.93,36.49
948,6.12,37.33
947,6.45,37.64
946,6.16,36.33
945,6.11,37.05
944,6.41,39.22
943,5.83,38.33
942,5.78,38.08
941,6.00,38.86
940,6.21,40.12
939,6.82,42.39
938,6.56,43.13
937,6.90,43.68
936,7.23,44.18
935,7.33,44.86
934,6.98,45.60
933,7.24,45.69
932,7.04,44.65
931,7.17,45.13
930,6.41,45.25
929,7.92,45.39
928,7.78,43.50
927,7.74,43.69
926,7.41,42.64
925,8.17,41.63
924,8.48,42.98
923,9.08,43.61
922,9.45,45.82
921,9.08,46.24
920,8.86,44.34
919,8.81,44.42
918,8.93,43.29
917,8.78,43.66
916,8.50,43.02
915,8.48,42.67
914,8.14,39.76
913,8.31,39.59
912,8.19,38.28
911,8.31,35.73
910,8.79,36.41
909,10.22,37.51
908,10.42,37.17
907,10.02,36.58
906,10.38,36.89
905,10.89,37.29
904,11.11,37.86
903,11.39,38.95
902,11.46,38.67
901,11.46,38.02
900,10.99,36.84
899,11.33,35.69
